LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
AUS,2008,15.412,1.273,510.172,,10840.75,9.291159701078136,0,0.9518774641519028,0.008100775455127336,0.04002176039296986,High Spend
AUS,2009,15.535,1.334,553.724,,12011.21,9.393678911467886,0,0.9616386910490876,0.007400076584205882,0.030961232366706413,High Spend
AUS,2010,15.63,1.324,563.857,,12422.76,9.427366047191843,0,0.9653972120932842,0.007379118373622492,0.027223669533093388,High Spend
AUS,2011,15.311,1.315,580.921,,12977.79,9.471071765573813,0,0.9613801665648962,0.005915534122131239,0.03270429931297247,High Spend
AUS,2012,15.308,1.336,582.874,,13247.71,9.491655468184156,0,0.9625261147011228,0.0057289939764365565,0.031744891322440585,High Spend
AUS,2013,14.989,1.32,627.402,,14503.87,9.582239734088592,0,0.960343390854291,0.004288980323164078,0.035367628822544905,High Spend
AUS,2014,14.386,1.306,616.997,,14475.18,9.580259818980464,0,0.9408791907153737,0.003234723461845532,0.05588608582278053,High Spend
AUT,1990,10.131,0.784,152.003,B,1167.06,7.0630995319318,2,0.02567569500573942,0.0022153527224110198,0.9721089522718496,Low Spend
AUT,1991,10.001,0.78,160.118,,1241.7,7.125041710811949,2,0.026384124331529615,0.002010214695303867,0.9716056609731665,Low Spend
AUT,1992,9.889,0.801,169.708,,1330.63,7.194159034735164,2,0.027600751312438016,0.0018351367161815145,0.9705641119713804,Low Spend
AUT,1993,9.746,0.84,181.793,,1437.19,7.271140657508356,2,0.028762122445179804,0.0016403362551260486,0.969597541299694,Low Spend
AUT,1994,9.457,0.852,192.083,,1524.39,7.330005394051118,2,0.027357516584717464,0.0013693012843308083,0.9712731821309516,Low Spend
AUT,1995,9.542,0.854,201.335,,1600.27,7.37855234337494,2,0.03037095573874945,0.001397301042960851,0.9682317432182898,Low Spend
AUT,1996,9.839,0.876,214.418,,1706.56,7.442820729919822,2,0.03798962370740458,0.0015909599822763775,0.960419416310319,Low Spend
AUT,1997,11.213,1.01,255.927,,2039.24,7.620822726977213,2,0.09380883573192231,0.003406819669395975,0.9027843445986817,Low Spend
AUT,1998,11.843,1.087,288.769,,2303.45,7.742597315244779,2,0.15015439563490393,0.00495340915195275,0.8448921952131433,Low Spend
AUT,1999,12.551,1.17,322.318,,2576.07,7.854408373651705,2,0.24129888930133522,0.007701021475656483,0.7510000892230082,Low Spend
AUT,2000,12.734,1.174,344.082,,2756.64,7.92213052046444,2,0.2830338461037688,0.008432878562625578,0.7085332753336058,Low Spend
AUT,2001,12.897,1.198,356.061,,2863.55,7.960166548749533,2,0.3165005608568091,0.00923052734383807,0.6742689117993529,Low Spend
AUT,2002,13.154,1.238,385.304,,3114.01,8.043987641489274,2,0.38266809949475156,0.010411425349579255,0.6069204751556692,Low Spend
AUT,2003,13.607,1.304,417.087,,3387.34,8.128095404928063,2,0.48581603901923126,0.013154598537833,0.5010293624429356,Low Spend
AUT,2004,13.41,1.294,435.327,,3557.48,8.17708876637788,2,0.47353395103157325,0.011138201163552892,0.5153278478048737,Low Spend
AUT,2005,13.325,1.277,445.188,,3662.93,8.206291620808027,2,0.4713673103014867,0.0102980922709431,0.5183345974275702,Low Spend
AUT,2006,13.37,1.268,474.834,,3926.23,8.275689621745018,0,0.5058373748517268,0.00998859121558756,0.4841740339326856,High Spend
AUT,2007,13.605,1.289,504.849,,4187.97,8.34021015930764,0,0.5690398018414481,0.010876328384814555,0.42008386977373746,High Spend
